Source Term,Mapped Term Label,Mapped Term IRI,Mapped Ontology IRI,Mapping Score
vascular disorders of intestine,vascular disorder of penis,http://purl.obolibrary.org/obo/MONDO_0022293,http://www.ebi.ac.uk/efo/efo.owl#,0.6457989495026519
vascular disorders of intestine,vascular disease,http://www.ebi.ac.uk/efo/EFO_0004264,http://www.ebi.ac.uk/efo/efo.owl#,0.5937793447428834
vascular disorders of intestine,intestine,http://purl.obolibrary.org/obo/UBERON_0000160,http://www.ebi.ac.uk/efo/efo.owl#,0.5914658972549544
gonarthrosis,Hemarthrosis,http://www.ebi.ac.uk/efo/EFO_1001344,http://www.ebi.ac.uk/efo/efo.owl#,0.5447145027224624
psoriatic enteropathic arthropathies,Arthropathy,http://purl.obolibrary.org/obo/HP_0003040,http://www.ebi.ac.uk/efo/efo.owl#,0.5733363129153775
pain associated with micturition,micturition,http://purl.obolibrary.org/obo/GO_0060073,http://www.ebi.ac.uk/efo/efo.owl#,0.554459671155311
other mood,mood disorder,http://www.ebi.ac.uk/efo/EFO_0004247,http://www.ebi.ac.uk/efo/efo.owl#,0.6770349842631144
other mood,mood change measurement,http://www.ebi.ac.uk/efo/EFO_0009593,http://www.ebi.ac.uk/efo/efo.owl#,0.5285870048366185
preterm delivery,delivery measurement,http://www.ebi.ac.uk/efo/EFO_0006922,http://www.ebi.ac.uk/efo/efo.owl#,0.5679606397375593
preterm delivery,delivery method,http://www.ebi.ac.uk/efo/EFO_0000395,http://www.ebi.ac.uk/efo/efo.owl#,0.5176208012850079
preterm delivery,Abnormal delivery,http://purl.obolibrary.org/obo/HP_0001787,http://www.ebi.ac.uk/efo/efo.owl#,0.5157385210907526
gastritis duodenitis,duodenitis,http://purl.obolibrary.org/obo/MONDO_0004627,http://www.ebi.ac.uk/efo/efo.owl#,0.7976315839196468
gastritis duodenitis,gastritis,http://www.ebi.ac.uk/efo/EFO_0000217,http://www.ebi.ac.uk/efo/efo.owl#,0.7386556476061736
gastritis duodenitis,chronic gastritis,http://www.ebi.ac.uk/efo/EFO_0000337,http://www.ebi.ac.uk/efo/efo.owl#,0.563172330864016
problems related to physical environment,environmental factor,http://www.ebi.ac.uk/efo/EFO_0000469,http://www.ebi.ac.uk/efo/efo.owl#,0.5208314083742327
problems related to physical environment,social environment measurement,http://www.ebi.ac.uk/efo/EFO_0010552,http://www.ebi.ac.uk/efo/efo.owl#,0.513953574948572
injury of blood vessels at wrist hand level,blood vessel injury,http://www.ebi.ac.uk/efo/EFO_0009886,http://www.ebi.ac.uk/efo/efo.owl#,0.6926989807825535
injury of blood vessels at wrist hand level,blood vessel,http://purl.obolibrary.org/obo/UBERON_0001981,http://www.ebi.ac.uk/efo/efo.owl#,0.612068921538842
injury of blood vessels at wrist hand level,brain blood vessel,http://purl.obolibrary.org/obo/UBERON_0003499,http://www.ebi.ac.uk/efo/efo.owl#,0.5326035253465082
effects of air pressure water pressure,pressure unit,http://purl.obolibrary.org/obo/UO_0000109,http://www.ebi.ac.uk/efo/efo.owl#,0.558067618331246
effects of air pressure water pressure,breast pressure measurement,http://www.ebi.ac.uk/efo/EFO_0009393,http://www.ebi.ac.uk/efo/efo.owl#,0.5165511770316696
effects of air pressure water pressure,blood pressure,http://www.ebi.ac.uk/efo/EFO_0004325,http://www.ebi.ac.uk/efo/efo.owl#,0.5138778973218886
sequelae of injuries of neck trunk,trunk,http://purl.obolibrary.org/obo/UBERON_0002100,http://www.ebi.ac.uk/efo/efo.owl#,0.5090953099407534
personal history of malignant neoplasm,malignant ear neoplasm,http://purl.obolibrary.org/obo/MONDO_0003277,http://www.ebi.ac.uk/efo/efo.owl#,0.6026051005634416
personal history of malignant neoplasm,Malignant Bone Neoplasm,http://www.ebi.ac.uk/efo/EFO_1000350,http://www.ebi.ac.uk/efo/efo.owl#,0.5911402224193336
personal history of malignant neoplasm,malignant colon neoplasm,http://purl.obolibrary.org/obo/MONDO_0021063,http://www.ebi.ac.uk/efo/efo.owl#,0.5872263106877247
seropositive rheumatoid arthritis,rheumatoid arthritis,http://www.ebi.ac.uk/efo/EFO_0000685,http://www.ebi.ac.uk/efo/efo.owl#,0.7884164947035978
seropositive rheumatoid arthritis,ACPA-positive rheumatoid arthritis,http://www.ebi.ac.uk/efo/EFO_0009459,http://www.ebi.ac.uk/efo/efo.owl#,0.7214015126766591
seropositive rheumatoid arthritis,rheumatoid factor seropositivity measurement,http://www.ebi.ac.uk/efo/EFO_0007791,http://www.ebi.ac.uk/efo/efo.owl#,0.6740491397639423
hypertrophic disorders of skin,hypertrophy,http://www.ebi.ac.uk/efo/EFO_0002460,http://www.ebi.ac.uk/efo/efo.owl#,0.614012301608376
hypertrophic disorders of skin,hypertrophic cardiomyopathy,http://www.ebi.ac.uk/efo/EFO_0000538,http://www.ebi.ac.uk/efo/efo.owl#,0.5253354838395219
hypertrophic disorders of skin,Rare familial disorder with hypertrophic cardiomyopathy,http://www.orpha.net/ORDO/Orphanet_99739,http://www.ebi.ac.uk/efo/efo.owl#,0.5110187445287052
